ID,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
8000,2006,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3247,50.5
8001,2005,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3347,52.9
8002,2004,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3503,56.1
8003,2003,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3580,57.7
8004,2002,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3885,63.1
8005,2001,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3796,62
8006,2000,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3940,65.1
8007,1999,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3950,65.6
8008,2016,Cerebrovascular diseases (I60-I69),Stroke,Montana,440,32.5
8009,2015,Cerebrovascular diseases (I60-I69),Stroke,Montana,458,33.8
8010,2014,Cerebrovascular diseases (I60-I69),Stroke,Montana,480,36.4
8011,2013,Cerebrovascular diseases (I60-I69),Stroke,Montana,480,37.6
8012,2012,Cerebrovascular diseases (I60-I69),Stroke,Montana,415,33.1
8013,2011,Cerebrovascular diseases (I60-I69),Stroke,Montana,460,37.9
8014,2010,Cerebrovascular diseases (I60-I69),Stroke,Montana,494,41.8
8015,2009,Cerebrovascular diseases (I60-I69),Stroke,Montana,462,39.5
8016,2008,Cerebrovascular diseases (I60-I69),Stroke,Montana,466,40.3
8017,2007,Cerebrovascular diseases (I60-I69),Stroke,Montana,443,39
8018,2006,Cerebrovascular diseases (I60-I69),Stroke,Montana,461,41.7
8019,2005,Cerebrovascular diseases (I60-I69),Stroke,Montana,522,48.6
8020,2004,Cerebrovascular diseases (I60-I69),Stroke,Montana,484,46.1
8021,2003,Cerebrovascular diseases (I60-I69),Stroke,Montana,576,56.1
8022,2002,Cerebrovascular diseases (I60-I69),Stroke,Montana,639,63
8023,2001,Cerebrovascular diseases (I60-I69),Stroke,Montana,578,58.1
8024,2000,Cerebrovascular diseases (I60-I69),Stroke,Montana,583,60.1
8025,1999,Cerebrovascular diseases (I60-I69),Stroke,Montana,595,62.2
8026,2016,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,787,33.2
8027,2015,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,776,33.4
8028,2014,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,798,34.7
8029,2013,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,820,36.4
8030,2012,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,776,34.8
8031,2011,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,810,36.9
8032,2010,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,876,40.5
8033,2009,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,857,40.1
8034,2008,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,863,41
8035,2007,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,921,43.8
8036,2006,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,922,44.7
8037,2005,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,986,48.4
8038,2004,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,978,48.5
8039,2003,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,1094,54.7
8040,2002,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,1103,55.2
8041,2001,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,1130,57.5
8042,2000,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,1091,55.8
8043,1999,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,1176,60.2
8044,2016,Cerebrovascular diseases (I60-I69),Stroke,Nevada,1096,35.9
